Time,main.plant_node,main.setpoint,main.out
4.419000e-02,3.395637e+00,3.300000e+00,1.958372e-01
4.420000e-02,3.203350e+00,3.300000e+00,-1.890842e-01
4.421000e-02,3.395484e+00,3.300000e+00,1.955296e-01
4.422000e-02,3.203503e+00,3.300000e+00,-1.887768e-01
4.423000e-02,3.395330e+00,3.300000e+00,1.952224e-01
4.424000e-02,3.203657e+00,3.300000e+00,-1.884699e-01
4.425000e-02,3.395177e+00,3.300000e+00,1.949157e-01
4.426000e-02,3.203810e+00,3.300000e+00,-1.881634e-01
4.427000e-02,3.395025e+00,3.300000e+00,1.946095e-01
4.428000e-02,3.203963e+00,3.300000e+00,-1.878575e-01
4.429000e-02,3.394872e+00,3.300000e+00,1.943038e-01
4.430000e-02,3.204116e+00,3.300000e+00,-1.875520e-01
4.431000e-02,3.394720e+00,3.300000e+00,1.939986e-01
4.432000e-02,3.204269e+00,3.300000e+00,-1.872471e-01
4.433000e-02,3.394568e+00,3.300000e+00,1.936939e-01
4.434000e-02,3.204421e+00,3.300000e+00,-1.869426e-01
4.435000e-02,3.394416e+00,3.300000e+00,1.933897e-01
4.436000e-02,3.204573e+00,3.300000e+00,-1.866386e-01
4.437000e-02,3.394265e+00,3.300000e+00,1.930859e-01
4.438000e-02,3.204725e+00,3.300000e+00,-1.863351e-01
4.439000e-02,3.394113e+00,3.300000e+00,1.927827e-01
4.440000e-02,3.204876e+00,3.300000e+00,-1.860321e-01
4.441000e-02,3.393962e+00,3.300000e+00,1.924799e-01
4.442000e-02,3.205028e+00,3.300000e+00,-1.857295e-01
4.443000e-02,3.393812e+00,3.300000e+00,1.921776e-01
4.444000e-02,3.205179e+00,3.300000e+00,-1.854275e-01
4.445000e-02,3.393661e+00,3.300000e+00,1.918758e-01
4.446000e-02,3.205330e+00,3.300000e+00,-1.851259e-01
4.447000e-02,3.393511e+00,3.300000e+00,1.915744e-01
4.448000e-02,3.205480e+00,3.300000e+00,-1.848248e-01
4.449000e-02,3.393361e+00,3.300000e+00,1.912736e-01
4.450000e-02,3.205631e+00,3.300000e+00,-1.845242e-01
4.451000e-02,3.393211e+00,3.300000e+00,1.909732e-01
4.452000e-02,3.205781e+00,3.300000e+00,-1.842241e-01
4.453000e-02,3.393061e+00,3.300000e+00,1.906733e-01
4.454000e-02,3.205931e+00,3.300000e+00,-1.839244e-01
4.455000e-02,3.392912e+00,3.300000e+00,1.903739e-01
4.456000e-02,3.206081e+00,3.300000e+00,-1.836253e-01
4.457000e-02,3.392763e+00,3.300000e+00,1.900750e-01
4.458000e-02,3.206230e+00,3.300000e+00,-1.833266e-01
4.459000e-02,3.392614e+00,3.300000e+00,1.897766e-01
4.460000e-02,3.206379e+00,3.300000e+00,-1.830284e-01
4.461000e-02,3.392465e+00,3.300000e+00,1.894786e-01
4.462000e-02,3.206528e+00,3.300000e+00,-1.827306e-01
4.463000e-02,3.392317e+00,3.300000e+00,1.891811e-01
4.464000e-02,3.206677e+00,3.300000e+00,-1.824334e-01
4.465000e-02,3.392169e+00,3.300000e+00,1.888841e-01
4.466000e-02,3.206825e+00,3.300000e+00,-1.821366e-01
4.467000e-02,3.392021e+00,3.300000e+00,1.885875e-01
4.468000e-02,3.206973e+00,3.300000e+00,-1.818403e-01
4.469000e-02,3.391873e+00,3.300000e+00,1.882914e-01
4.470000e-02,3.207121e+00,3.300000e+00,-1.815444e-01
4.471000e-02,3.391726e+00,3.300000e+00,1.879958e-01
4.472000e-02,3.207269e+00,3.300000e+00,-1.812491e-01
4.473000e-02,3.391578e+00,3.300000e+00,1.877007e-01
